***** USUARIO *****
NOMBRE: SERGIO
NICK: NICK_SERGIO
PASSWORD: CONTRASEÑA_SERGIO
NUMERO_REGISTRO: SDFG
TIPO_PERSONAJE: VAMPIRO
NOMBRE_PERSONAJE: VAMPIRO1
NOMBRE_HABILIDAD: HABILIDAD1
VALOR_ATAQUE: 3
VALOR_DEFENSA: 1
COSTE_HABLIDAD: 1
NUMERO_ARMAS:3
NOMBRE_ARMA: ARMA1
ATAQUE_ARMA: 1
DEFENSA_ARMA: 1
EMPUÑADURA: YES (UNA SOLA MANO)
NUMERO_ARMAS_ACTIVA: 2
NUMERO_ARMADURAS: 1
NOMBRE_ARMADURA: ARMADURA1
DEFENSA_ARMADURA: 1
ATAQUE_ARMADURA: 1
CANTIDAD_ORO: 1
CANTIDAD_VIDA: 1
PODER: 1
NUMERO_DEBILIDADES: 1
NOMBRE_DEBILIDAD: DEBILDIAD1
VALOR_DEBILIDAD: 1
NUMERO_FORTALEZAS: 2
NOMBRE_FORTALEZA: FORTALEZA1
VALOR_FORTALEZA: 1
EDAD_VAMPIRO: 23
NUMERO_ESBIRROS: 32
TIPO_ESBIRRO: GHOUL
NOMBRE_ESBIRRO: GHOUL_NOMBRE
VIDA_ESBIRRO: 2
DEPENDENCIA_GHOUL: 1
FIN USUARIO
